studyID,AuthorYear,n,r,dose,agent,N,daily_dose,year
1,1,16,2,41.6,mPSL,16,1.3,1998
1,1,8,3,0,Placebo,8,0,1998
2,2,85,49,1400,HC,85,200,2006
2,2,92,62,0,Placebo,92,0,2006
3,3,89,17,37.8,mPSL,89,1.8,2006
3,3,91,24,0,Placebo,91,0,2006
4,4,63,13,19.6,mPSL,63,0.7,2007
4,4,28,12,0,Placebo,28,0,2007
5,5,38,1,19.6,mPSL,18,0.7,2013
5,5,20,7,0,Placebo,9,0,2013
6,6,98,22,1400,HC,98,200,2016
6,6,99,27,0,Placebo,99,0,2016
7,7,139,25,150,DEX,139,15,2020
7,7,138,43,0,Placebo,138,0,2020
8,8,151,85,150,DEX,151,15,2020
8,8,148,91,0,Placebo,148,0,2020
9,9,137,37,1400,HC,137,200,2020
9,9,146,31,600,HC,146,200,2020
9,9,101,30,0,Placebo,101,0,2020
10,10,324,95,60,DEX,324,6,2020
10,10,683,283,0,Placebo,683,0,2020
11,11,194,72,5,mPSL,194,1,2021
11,11,199,75,0,Placebo,199,0,2021
12,12,25,16,150,DEX,25,15,2021
12,12,25,15,0,Placebo,25,0,2021
13,13,16,6,1400,HC,16,200,2021
13,13,14,2,0,Placebo,14,0,2021
14,14,491,133,120,DEX,491,12,2021
14,14,480,155,60,DEX,480,6,2021
15,15,21,2,60,DEX,21,6,2021
15,15,21,13,120,DEX,21,10,2021
16,16,75,13,22.4,mPSL,75,1.6,2021
16,16,75,18,0,Placebo,75,0,2021
17,17,276,68,60,DEX,276,6,2022
17,17,270,69,150,DEX,270,20,2022
18,18,49,20,120,DEX,49,12,2022
18,18,49,19,60,DEX,49,6,2022
19,19,104,30,60,DEX,104,6,2022
19,19,101,26,0,Placebo,101,0,2022
20,20,35,3,60,DEX,35,6,2022
20,20,35,8,1500,HC,35,150,2022
20,20,36,7,4,mPSL,36,0.4,2022
