studyID,AuthorYear,n,r,dose,agent,N
1,1,16,2,41.6,mPSL,16
1,1,8,5,0,Placebo,8
2,2,85,49,1400,HC,85
2,2,92,62,0,Placebo,92
3,3,85,49,37.8,mPSL,89
3,3,92,62,0,Placebo,91
4,4,63,17,19.6,mPSL,63
4,4,28,14,0,Placebo,28
5,5,38,1,19.6,mPSL,18
5,5,20,7,0,Placebo,9
6,6,98,22,1400,HC,98
6,6,99,27,0,Placebo,99
7,7,139,29,150,DEX,139
7,7,138,50,0,Placebo,138
8,8,151,85,150,DEX,151
8,8,148,91,0,Placebo,148
9,9,137,40,1400,HC,137
9,9,146,35,600,HC,146
9,9,101,33,0,Placebo,101
10,10,324,95,60,DEX,324
10,10,683,283,0,Placebo,683
11,11,194,72,5,mPSL,194
11,11,199,75,0,Placebo,199
12,12,25,16,150,DEX,25
12,12,25,15,0,Placebo,25
13,13,16,7,1400,HC,16
13,13,14,3,0,Placebo,14
14,14,491,157,120,DEX,491
14,14,480,180,60,DEX,480
15,15,21,2,60,DEX,21
15,15,21,13,120,DEX,21
16,16,75,13,22.4,mPSL,75
16,16,75,18,0,Placebo,75
17,17,107,30,60,DEX,276
17,17,106,29,150,DEX,270
18,18,49,23,120,DEX,49
18,18,49,23,60,DEX,49
19,19,104,30,60,DEX,104
19,19,101,26,0,Placebo,101
20,20,35,3,60,DEX,35
20,20,35,8,1500,HC,35
20,20,36,7,4,mPSL,36
21,21,76,11,1950,HC,76
21,21,73,20,0,Placebo,73
22,22,15,6,6,mPSL,15
22,22,15,4,0,Placebo,15
