study,"n[,1]","r[,1]","n[,2]","r[,2]","n[,3]","r[,3]","t[,1]","t[,2]","t[,3]",na[]
1,16,2,8,3,,,mPSL,Placebo,,2
2,85,49,92,62,,,HC,Placebo,,2
3,89,17,91,24,,,mPSL,Placebo,,2
4,63,13,28,12,,,mPSL,Placebo,,2
5,18,1,9,7,,,mPSL,Placebo,,2
6,98,22,99,27,,,HC,Placebo,,2
7,139,25,138,43,,,DEX,Placebo,,2
8,151,85,148,91,,,DEX,Placebo,,2
9,283,68,101,30,,,HC,Placebo,,2
10,324,95,683,283,,,DEX,Placebo,,2
11,194,72,199,75,,,mPSL,Placebo,,2
12,25,16,25,15,,,DEX,Placebo,,2
13,16,6,14,2,,,HC,Placebo,,2
14,75,13,75,18,,,mPSL,Placebo,,2
15,104,30,101,26,,,DEX,Placebo,,2
16,36,7,35,3,35,8,mPSL,DEX,HC,3
